CCS,CCS_label,CCS_Level
PR1,Inc/exc CNS,main
PR-1,Operations on the nervous system,lvl1
PR-1.1,Incision and excision of CNS [1.],lvl2
PR-1.1.3,Other incision and excision of CNS,lvl3
PR-1.1.1,Craniotomy and craniectomy,lvl3
PR1,Incision and,main
PR-1.1.2,Incision of cerebral meninges,lvl3
PR2,Extcrn shunt,main
PR-1.2,Insertion; replacement; or removal of extracranial ventricular shunt [2.],lvl2
PR3,Laminectomy,main
PR-1.3,Laminectomy; excision intervertebral disc [3.],lvl2
PR-1.3.2,Laminectomy,lvl3
PR-1.3.1,Excision of intervertebral disc,lvl3
PR4,Dx spinaltap,main
PR-1.4,Diagnostic spinal tap [4.],lvl2
PR5,Inject spine,main
PR-1.5,Insertion of catheter or spinal stimulator and injection into spinal canal [5.],lvl2
PR6,Decomp nerve,main
PR-1.6,Decompression peripheral nerve [6.],lvl2
PR-1.6.1,Release of carpal tunnel,lvl3
PR-1.6.2,Other lysis of adhesion and decompression of peripheral nerves,lvl3
PR7,Ot Dx nerv,main
PR-1.7,Other diagnostic nervous system procedures [7.],lvl2
PR8,Ot nOR nerv,main
PR-1.8,Other non-OR or closed therapeutic nervous system procedures [8.],lvl2
PR9,Ot OR nerv,main
PR-1.9,Other OR therapeutic nervous system procedures [9.],lvl2
PR9,Ot OR nervy,main
PR10,Thyroidect,main
PR-2,Operations on the endocrine system,lvl1
PR-2.1,Thyroidectomy; partial or complete [10.],lvl2
PR11,Dx endocr,main
PR-2.2,Diagnostic endocrine procedures [11.],lvl2
PR12,Ot Rx endoc,main
PR-2.3,Other therapeutic endocrine procedures [12.],lvl2
PR13,Corneal tran,main
PR-3,Operations on the eye,lvl1
PR-3.1,Corneal transplant [13.],lvl2
PR14,Glaucoma prs,main
PR-3.2,Glaucoma procedures [14.],lvl2
PR15,Cataract prs,main
PR-3.3,Lens and cataract procedures [15.],lvl2
PR-3.3.4,Other lens and cataract procedures,lvl3
PR-3.3.2,Phacoemulsification and aspiration of cataract,lvl3
PR-3.3.3,Other extracapsular extraction of lens,lvl3
PR-3.3.1,Insertion of prosthetic lens,lvl3
PR16,Rpr retina,main
PR-3.4,Repair of retinal tear; detachment [16.],lvl2
PR17,Retin les pr,main
PR-3.5,Destruction of lesion of retina and choroid [17.],lvl2
PR18,Dx eye,main
PR-3.6,Diagnostic procedures on eye [18.],lvl2
PR19,Ot Rx eye,main
PR-3.7,Other therapeutic procedures on eyelids; conjunctiva; cornea [19.],lvl2
PR20,Ot intraocul,main
PR-3.8,Other intraocular therapeutic procedures [20.],lvl2
PR21,Ot extraocul,main
PR-3.9,Other extraocular muscle and orbit therapeutic procedures [21.],lvl2
PR22,Tympanoplas,main
PR-4,Operations on the ear,lvl1
PR-4.1,Tympanoplasty [22.],lvl2
PR23,Myringotomy,main
PR-4.2,Myringotomy [23.],lvl2
PR24,Mastoidectom,main
PR-4.3,Mastoidectomy [24.],lvl2
PR25,Dx procs ear,main
PR-4.4,Diagnostic procedures on ear [25.],lvl2
PR26,Ot Rx ear pr,main
PR-4.5,Other therapeutic ear procedures [26.],lvl2
PR27,Ctrl epistax,main
PR-5,Operations on the nose; mouth; and pharynx,lvl1
PR-5.1,Control of epistaxis [27.],lvl2
PR28,Plst pr nose,main
PR-5.2,Plastic procedures on nose [28.],lvl2
PR29,Dental procs,main
PR-5.3,Dental procedures [29.],lvl2
PR30,Tonsillect,main
PR-5.4,Tonsillectomy and/or adenoidectomy [30.],lvl2
PR-5.4.1,Tonsillectomy without adenoidectomy,lvl3
PR-5.4.2,Tonsillectomy with adenoidectomy,lvl3
PR-5.4.3,Adenoidectomy without tonsillectomy,lvl3
PR-5.4.4,Control of hemorrhage after tonsillectomy or adenoidectomy,lvl3
PR31,Dx nose mout,main
PR-5.5,Diagnostic procedures on nose; mouth and pharynx [31.],lvl2
PR-5.5.2,Other diagnostic procedures on nose; mouth and pharynx,lvl3
PR-5.5.1,Diagnostic procedures on nasal sinuses,lvl3
PR32,nOR nose mou,main
PR-5.6,Other non-OR therapeutic procedures on nose; mouth and pharynx [32.],lvl2
PR-5.6.2,Other non-OR procedures on nasal sinuses,lvl3
PR-5.6.1,Non-OR procedures on nasal sinuses,lvl3
PR33,OR nose mout,main
PR-5.7,Other OR therapeutic procedures on nose; mouth and pharynx [33.],lvl2
PR-5.7.6,Other procedures on nose; mouth and pharynx,lvl3
PR-5.7.1,OR procedures on nasal sinuses,lvl3
PR-5.7.2,Excision salivary gland,lvl3
PR-5.7.3,Repair cleft lip,lvl3
PR-5.7.4,Correction cleft palate,lvl3
PR-5.7.5,Incision and drainage of tonsils,lvl3
PR34,Tracheostomy,main
PR-6,Operations on the respiratory system,lvl1
PR-6.1,Tracheostomy; temporary and permanent [34.],lvl2
PR35,Tracheoscopy,main
PR-6.2,Tracheoscopy and laryngoscopy with biopsy [35.],lvl2
PR36,Pneumonectom,main
PR-6.3,Lobectomy or pneumonectomy [36.],lvl2
PR37,Bronchoscopy,main
PR-6.4,Diagnostic bronchoscopy and biopsy of bronchus [37.],lvl2
PR-6.4.1,Bronchoscopy without biopsy,lvl3
PR-6.4.2,Endoscopic biopsy of bronchus,lvl3
PR-6.4.3,Needle biopsy of lung,lvl3
PR-6.4.4,Endoscopic biopsy of lung,lvl3
PR38,Dx prs lung,main
PR-6.5,Other diagnostic procedures on lung and bronchus [38.],lvl2
PR39,Thoracentesi,main
PR-6.6,Incision of pleura; thoracentesis; chest drainage [39.],lvl2
PR-6.6.1,Closed chest drainage,lvl3
PR-6.6.2,Open chest drainage,lvl3
PR-6.6.3,Thoracentesis,lvl3
PR40,Dx respirat,main
PR-6.7,Other diagnostic procedures of respiratory tract and mediastinum [40.],lvl2
PR41,n-OR respira,main
PR-6.8,Other non-OR therapeutic procedures on respiratory system [41.],lvl2
PR42,OR respirato,main
PR-6.9,Other OR therapeutic procedures on respiratory system [42.],lvl2
PR43,Heart valve,main
PR-7,Operations on the cardiovascular system,lvl1
PR-7.1,Heart valve procedures [43.],lvl2
PR44,CABG,main
PR-7.2,Coronary artery bypass graft (CABG) [44.],lvl2
PR-7.2.5,Other bypass of coronary arteries,lvl3
PR-7.2.1,Bypass of one coronary artery,lvl3
PR-7.2.2,Bypass of two coronary arteries,lvl3
PR-7.2.3,Bypass of three coronary arteries,lvl3
PR-7.2.4,Bypass of four coronary arteries,lvl3
PR45,PTCA,main
PR-7.3,Percutaneous transluminal coronary angioplasty (PTCA) [45.],lvl2
PR-7.3.1,Single vessel PTCA,lvl3
PR-7.3.2,Multiple vessel PTCA,lvl3
PR46,Thrombolysis,main
PR-7.4,Coronary thrombolysis [46.],lvl2
PR47,Cardiac cath,main
PR-7.5,Diagnostic cardiac catheterization; coronary arteriography [47.],lvl2
PR-7.5.2,Cardiac catheterization,lvl3
PR-7.5.1,Coronary arteriography,lvl3
PR48,Pacemaker,main
PR-7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],lvl2
PR-7.6.1,Insertion; revision; replacement; or removal of pacemaker leads,lvl3
PR-7.6.3,Insertion; revision; replacement; or removal of cardioverter/defibrillator,lvl3
PR-7.6.2,Insertion; revision; replacement; or removal of pacemaker device,lvl3
PR49,Ot OR heart,main
PR-7.7,Other OR heart procedures [49.],lvl2
PR50,Extrcor circ,main
PR-7.8,Extracorporeal circulation auxiliary to open heart procedures [50.],lvl2
PR51,Endarterecto,main
PR-7.9,Endarterectomy; vessel of head and neck [51.],lvl2
PR52,Aort resect,main
PR-7.10,Aortic resection; replacement or anastomosis [52.],lvl2
PR53,Varic vein,main
PR-7.11,Varicose vein stripping; lower limb [53.],lvl2
PR54,Ot vasc cath,main
PR-7.12,Other vascular catheterization; not heart [54.],lvl2
PR-7.12.1,Arterial catheterization,lvl3
PR-7.12.2,Umbilical vein catheterization,lvl3
PR-7.12.3,Venous catheterization,lvl3
PR55,Peri vas byp,main
PR-7.13,Peripheral vascular bypass [55.],lvl2
PR56,Ot vas byp,main
PR-7.14,Other vascular bypass and shunt; not heart [56.],lvl2
PR57,AV fistula,main
PR-7.15,Creation; revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis [57,lvl2
PR58,Hemodialysis,main
PR-7.16,Hemodialysis [58.],lvl2
PR59,Vesl hed/nck,main
PR-7.17,Other OR procedures on vessels of head and neck [59.],lvl2
PR60,Vessel leg,main
PR-7.18,Embolectomy and endarterectomy of lower limbs [60.],lvl2
PR61,Ot vessels,main
PR-7.19,Other OR procedures on vessels other than head and neck [61.],lvl2
PR-7.19.2,Other OR procedures on blood vessels,lvl3
PR-7.19.1,Interrupt vena cava,lvl3
PR62,Ot Dx CV prs,main
PR-7.20,Other diagnostic cardiovascular procedures [62.],lvl2
PR63,n-OR CV prs,main
PR-7.21,Other non-OR therapeutic cardiovascular procedures [63.],lvl2
PR64,Bon mar tran,main
PR-8,Operations on the hemic and lymphatic system,lvl1
PR-8.1,Bone marrow transplant [64.],lvl2
PR65,Bon mar bx,main
PR-8.2,Bone marrow biopsy [65.],lvl2
PR66,Prs spleen,main
PR-8.3,Procedures on spleen [66.],lvl2
PR67,Ot Rx hemic,main
PR-8.4,Other therapeutic procedures; hemic and lymphatic system [67.],lvl2
PR-8.4.5,Other hemic and lymphatic procedures,lvl3
PR-8.4.1,Biopsy of lymphatic structure,lvl3
PR-8.4.2,Simple excision of lymphatic structure,lvl3
PR-8.4.3,Regional lymph node excision,lvl3
PR-8.4.4,Radical excision lymph nodes,lvl3
